Date,lat,lon,dep,yr,mag
1991-09-28,-5.767,151.048,28,1991,6.6
1991-09-30,-20.815,-178.504,567.1,1991,7
1991-09-30,-20.862,-178.63,589.7,1991,5.5
1991-10-03,-16.872,168.243,15.6,1991,5.6
1991-10-08,45.619,149.045,144.8,1991,5.9
1991-10-12,-13.706,166.751,48.5,1991,6.1
1991-10-13,2.463,127.748,27.9,1991,5.7
1991-10-13,-55.886,-122.747,3.6,1991,6.2
1991-10-14,-9.051,158.555,38.3,1991,7.2
1991-10-14,-9.03,158.689,34.1,1991,6.4
1991-10-15,-6.489,130.037,144.4,1991,6.1
1991-10-17,-4.522,135.379,20.4,1991,5.8
1991-10-17,-15.291,-173.474,38.1,1991,5.9
1991-10-18,-24.296,-177.5,199.5,1991,6.4
1991-10-19,30.731,78.781,8.1,1991,6.8
1991-10-26,18.55,145.688,188,1991,5.8
1991-10-27,-57.741,-25.465,21.1,1991,5.6
1991-10-30,-15.298,-173.075,13.9,1991,6.1
1991-11-01,1.19,122.068,42.8,1991,5.8
1991-11-01,-30.218,-177.83,18,1991,6.6
1991-11-04,-6.077,148.235,51.1,1991,6.1
1991-11-05,-6.222,146.488,107.4,1991,6.1
1991-11-05,-17.63,65.91,12.6,1991,6.5
1991-11-07,-26.464,-177.754,192.2,1991,5.6
1991-11-07,-7.323,128.56,142.6,1991,6.2
1991-11-11,-24.17,-177.311,176.6,1991,5.8
1991-11-11,17.9,-105.564,15.7,1991,5.8
1991-11-11,24.689,142.622,53.4,1991,5.5
1991-11-13,8.392,126.405,36.5,1991,6.6
1991-11-19,-55.921,-123.3,4.9,1991,5.7
1991-11-19,4.549,-77.358,25,1991,7.2
1991-11-20,-36.538,178.419,84,1991,6
1991-11-20,-30.273,-177.818,43.4,1991,5.5
1991-11-21,5.84,126.797,76.5,1991,6
1991-11-26,51.791,-176.176,24.7,1991,5.9
1991-11-26,42.09,142.534,57.5,1991,6.4
1991-11-27,48.317,154.743,29.9,1991,5.5
1991-12-02,-15.977,-69.303,234.7,1991,5.5
1991-12-03,-26.517,178.773,572,1991,6.2
1991-12-05,-41.322,80.404,14.8,1991,5.7
1991-12-07,45.513,151.369,36.1,1991,5.8
1991-12-11,-17.85,-116.051,20.7,1991,6.4
1991-12-11,-23.413,171.122,49.1,1991,6.5
1991-12-13,45.659,151.493,24.6,1991,6.6
1991-12-13,45.529,151.588,29.8,1991,5.5
1991-12-13,45.637,151.488,32,1991,5.8
1991-12-13,45.554,151.622,30.8,1991,6.4
1991-12-13,45.49,151.575,30,1991,5.7
1991-12-13,45.522,151.254,11.8,1991,6.3
1991-12-13,45.464,151.405,33.5,1991,6.2
1991-12-13,45.556,151.746,44.3,1991,5.8
1991-12-15,-17.512,-70.36,98.5,1991,5.7
1991-12-17,-62.508,154.861,15,1991,6.2
1991-12-17,47.429,151.484,150.2,1991,5.5
1991-12-19,45.363,151.136,29.6,1991,6.8
1991-12-19,45.346,150.992,52.3,1991,5.7
1991-12-19,48.969,-128.682,15,1991,5.6
1991-12-19,48.898,-128.754,6.6,1991,5.5
1991-12-19,45.382,151.487,29.4,1991,5.6
1991-12-22,45.591,151.035,24.7,1991,7.6
1991-12-22,45.877,151.433,25,1991,5.9
1991-12-26,25.409,-109.651,9.2,1991,5.5
1991-12-27,-19.189,-176.375,19.1,1991,5.9
1991-12-27,-55.973,-25.058,22.2,1991,7.2
1991-12-27,-8.913,158.008,36.7,1991,5.7
1991-12-27,51.071,98.171,8.1,1991,6.3
1991-12-28,-56.099,-24.607,38.2,1991,6.6
1991-12-28,-6.393,150.411,35.3,1991,5.6
1991-12-28,-6.33,150.29,50.8,1991,5.6
1991-12-29,-4.409,132.663,42.8,1991,6.3
1992-01-02,48.666,-129.387,15,1992,5.9
1992-01-02,5.626,-73.809,140.6,1992,5.5
1992-01-09,-9.02,-109.37,28.3,1992,5.5
1992-01-13,-20.887,-178.688,577.6,1992,5.8
1992-01-13,1.371,127.373,129,1992,5.9
1992-01-20,27.901,139.469,501.8,1992,6.7
1992-01-27,-21.493,-68.065,138.1,1992,5.5
1992-01-30,24.946,63.155,27.2,1992,5.6
1992-01-30,-58.117,148.38,4.9,1992,5.7
1992-02-01,35.165,139.669,99.8,1992,5.6
1992-02-02,-51.558,139.509,15,1992,5.9
1992-02-02,-51.539,139.72,8,1992,6.2
